date,id,prec,tair,tw,tmax,tmin,urmax,patm,pnmm,wd,wsmax,n,cc,evap,ur,ws,request_status
2019-03-03T00:00:00Z,83781,-9999,19.8,19.1,29.5,-9999,92,926,1014.3,32,2.5,-9999,10,0.6,81.75,1.333333,Success: (200) OK
2019-03-03T12:00:00Z,83781,31,23.1,21,-9999,19.1,81,926.8,1015.3,36,1.1,-9999,9,-9999,-9999,-9999,Success: (200) OK
2019-03-03T18:00:00Z,83781,-9999,25.7,21.4,-9999,-9999,66,924.7,1012.8,14,1.3,-9999,10,-9999,-9999,-9999,Success: (200) OK
2019-03-04T00:00:00Z,83781,-9999,21.7,20.5,28.8,-9999,90,926.8,1014.9,9,1.6,-9999,10,1,72.5,1.933333,Success: (200) OK
2019-03-04T12:00:00Z,83781,5,22.5,20.1,-9999,19.6,80,927.9,1016.4,14,2.5,-9999,10,-9999,-9999,-9999,Success: (200) OK
2019-03-04T18:00:00Z,83781,-9999,28.3,21.7,-9999,-9999,54,926.2,1012.4,14,3.3,-9999,9,-9999,-9999,-9999,Success: (200) OK
2019-03-05T00:00:00Z,83781,-9999,22.2,19.8,31.2,-9999,78,927.9,1016.3,0,0,-9999,6,4.9,76.25,1.4,Success: (200) OK
2019-03-05T12:00:00Z,83781,0,24,20.3,-9999,20.1,71,929.4,1017.8,27,0.8,-9999,9,-9999,-9999,-9999,Success: (200) OK
2019-03-05T18:00:00Z,83781,-9999,30.1,22.3,-9999,-9999,50,925.8,1013.4,36,2.8,-9999,7,-9999,-9999,-9999,Success: (200) OK
2019-03-06T00:00:00Z,83781,-9999,21.6,20.7,31.4,-9999,92,927.9,1016.2,5,0.6,-9999,10,2.4,68.5,1.933333,Success: (200) OK
2019-03-06T12:00:00Z,83781,4,25.4,21.9,-9999,19.8,73,929.4,1017.7,9,1.6,-9999,3,-9999,-9999,-9999,Success: (200) OK
2019-03-06T18:00:00Z,83781,-9999,30.9,22.3,-9999,-9999,45,925.5,1012.8,36,2.6,-9999,8,-9999,-9999,-9999,Success: (200) OK
2019-03-07T00:00:00Z,83781,-9999,23.2,20.7,29.2,-9999,78,926.9,1014.8,14,1.6,-9999,10,4,85.25,3.3,Success: (200) OK
2019-03-07T12:00:00Z,83781,0.1,25,21.4,-9999,20.3,72,928.7,1016.6,32,1.6,-9999,8,-9999,-9999,-9999,Success: (200) OK
2019-03-07T18:00:00Z,83781,-9999,21,20.3,-9999,-9999,93,926.5,1014.7,32,5,-9999,10,-9999,-9999,-9999,Success: (200) OK
2019-03-08T00:00:00Z,83781,-9999,21.7,20.2,30,-9999,88,927.7,1015.9,36,3.3,-9999,10,2.6,63.25,2.366667,Success: (200) OK
2019-03-08T12:00:00Z,83781,19.4,24,20.5,-9999,20,72,927.9,1016.2,18,3.3,-9999,10,-9999,-9999,-9999,Success: (200) OK
